Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms
CN-00376,Burgan Engineering,98714864,1000,2684.35,Khaled,60 days
CN-00377,Oasis Builders,59088135,2500,KWD 2436.00,Joseph,COD
CN-00378,United Contracting Co,58707557,,607.06,Anwar,45 days
CN-00379,Gulf MEP Services,59388171,10000,"1,444.33",Mahmoud,90 days
CN-00380,Fahad Construction,95195661,5000,"2.538,82",Khaled,60 days
CN-00381,Burgan Workshop,64044755,2500,1429.43,Joseph,60 days
CN-00382,Al Manar MEP Services,64355199,10000,905.47,Mahmoud,Cash
CN-00383,Sabah Maintenance Co,59497006,,KWD 2810.81,Joseph,COD
CN-00384,National MEP Services,62673535,1000,2613.14,Anwar,Cash
CN-00385,National Real Estate,98081069,10000,"1,749.59",Suresh,45 days
CN-00386,Al Rai Workshop,57386781,,"428,54",Joseph,60 days
CN-00387,Sabah Construction,99266981,,2690.38,Mahmoud,90 days
CN-00388,Sabah Workshop,58316489,1000,3969.59,Anwar,COD
CN-00389,Kazma Maintenance Co,54691316,2500,KWD 2376.81,Joseph,60 days
CN-00390,Gulf Contracting Co,57951120,,2786.54,Mahmoud,Cash
CN-00391,Gulf MEP Services,55262998,10000,"1,216.02",Joseph,45 days
CN-00392,United Interiors,68336199,,"1.976,86",Suresh,45 days
CN-00393,Kazma Contracting Co,58209046,5000,2627.72,Khaled,45 days
CN-00394,Kazma Workshop,95271816,2500,1386.76,Khaled,Cash
CN-00395,Oasis Workshop,69145100,1000,KWD 2535.52,Rakesh,90 days
CN-00396,Marina Workshop,96328377,10000,2382.68,Joseph,30 days
CN-00397,Al Rai MEP Services,51711212,2500,"2,568.07",Anwar,60 days
CN-00398,Salmi Real Estate,52790166,1000,"2.185,47",Joseph,60 days
CN-00399,Gulf Interiors,92410450,2500,589.66,Joseph,60 days
CN-00400,Capital Engineering,68942881,,3941.16,Khaled,60 days
CN-00401,Burgan Workshop,96933257,10000,KWD 733.98,Suresh,Cash
CN-00402,National Interiors,96388060,5000,3635.05,Suresh,60 days
CN-00403,Pearl Maintenance Co,58846070,1000,"3,211.28",Joseph,45 days
CN-00404,Pearl Builders,93332252,5000,"2.653,45",Rakesh,90 days
CN-00405,Reliable Contracting Co,61687782,5000,3550.91,Joseph,90 days
CN-00406,Mubarak MEP Services,93218659,,1608.85,Rakesh,45 days
CN-00407,Desert Workshop,51939403,10000,KWD 1865.95,Khaled,90 days
CN-00408,National Workshop,58279769,2500,580.41,Suresh,30 days
CN-00409,Prime Contracting Co,67835822,2500,"2,137.50",Suresh,60 days
CN-00410,Mubarak Maintenance Co,63316202,2500,"2.998,13",Rakesh,45 days
CN-00411,Pearl MEP Services,69244280,10000,820.53,Anwar,60 days
CN-00412,Gulf Maintenance Co,97699738,5000,2848.99,Suresh,45 days
CN-00413,Desert Trading Est,98772693,,KWD 892.80,Suresh,45 days
CN-00414,United Workshop,96572538,,3496.03,Joseph,45 days
CN-00415,United Engineering,52589202,10000,"2,163.04",Rakesh,45 days
CN-00416,Falcon Construction,61776030,1000,"120,03",Joseph,COD
CN-00417,Gulf Contracting Co,69698111,2500,134.06,Suresh,90 days
CN-00418,Pearl Builders,55238348,10000,3548.54,Suresh,45 days
CN-00419,Capital Workshop,92785847,10000,KWD 225.21,Rakesh,COD
CN-00420,Pearl Builders,66679038,10000,3511.10,Mahmoud,30 days
CN-00421,Sabah Real Estate,69430705,10000,955.82,Mahmoud,45 days
CN-00422,Marina Interiors,59465858,,"468,26",Mahmoud,Cash
CN-00423,Gulf Contracting Co,68705313,1000,2422.73,Suresh,60 days
CN-00424,Capital Contracting Co,92184641,,504.88,Khaled,30 days
CN-00425,Gulf Workshop,95196691,1000,KWD 2599.88,Joseph,30 days
CN-00426,Marina Contracting Co,63858626,5000,3081.15,Anwar,90 days
CN-00427,Al Manar Workshop,94955281,10000,"2,840.69",Khaled,60 days
CN-00428,United Construction,98086429,,"3.154,07",Khaled,Cash
CN-00429,Reliable Construction,94636378,10000,1362.73,Joseph,30 days
CN-00430,Desert Builders,98040389,10000,3627.97,Anwar,30 days
CN-00431,Modern Real Estate,67957978,,KWD 3096.51,Suresh,30 days
CN-00432,Modern Maintenance Co,65719040,10000,1029.39,Mahmoud,45 days
CN-00433,Falcon Trading Est,68504643,1000,"3,613.11",Mahmoud,Cash
CN-00434,Gulf Trading Est,64598452,5000,"3.191,03",Mahmoud,30 days
CN-00435,Al Manar Workshop,53364816,2500,2921.93,Khaled,90 days
CN-00436,Mubarak Construction,97873287,10000,3635.72,Joseph,60 days
CN-00437,Prime Builders,92200160,10000,KWD 1526.03,Mahmoud,45 days
CN-00438,Al Rai Trading Est,56757347,,773.59,Joseph,90 days
CN-00439,Mubarak Builders,59861009,10000,"2,674.97",Rakesh,30 days
CN-00440,Kazma Workshop,97685919,2500,"1.906,71",Khaled,30 days
CN-00441,Desert Workshop,97270944,2500,2745.53,Joseph,90 days
CN-00442,Kazma Interiors,65929196,10000,3063.02,Anwar,45 days
CN-00443,Modern Maintenance Co,56207085,,KWD 3305.73,Mahmoud,45 days
CN-00444,Sabah MEP Services,53787327,10000,1270.04,Joseph,COD
CN-00445,Mubarak MEP Services,94595213,1000,740.69,Joseph,COD
CN-00446,Salmi MEP Services,95246113,,"327,86",Mahmoud,30 days
CN-00447,Sabah Construction,91333071,5000,946.20,Khaled,COD
CN-00448,Al Manar Contracting Co,68147271,5000,552.06,Khaled,30 days
CN-00449,Al Manar Workshop,99463293,2500,KWD 2588.65,Khaled,Cash
CN-00450,Burgan Trading Est,58877707,,304.17,Suresh,45 days
CN-00451,Mubarak Workshop,98295516,2500,644.98,Anwar,Cash
CN-00452,Salmi Real Estate,52584567,5000,"2.936,40",Anwar,Cash
CN-00453,Capital Construction,53902997,10000,3321.73,Mahmoud,60 days
CN-00454,Desert Real Estate,91164491,2500,-,Suresh,COD
CN-00455,Prime Engineering,92442401,5000,KWD 2887.24,Khaled,60 days
CN-00456,Kazma Real Estate,98867713,,2822.56,Anwar,90 days
CN-00457,Burgan Trading Est,92120254,10000,301.25,Joseph,45 days
CN-00458,Desert Maintenance Co,93753498,10000,"2.188,73",Anwar,30 days
CN-00459,Reliable Real Estate,51627468,2500,3471.49,Rakesh,60 days
CN-00460,Sabah Builders,95853052,10000,3072.75,Khaled,90 days
CN-00461,Falcon Real Estate,59166376,1000,KWD 2956.18,Suresh,90 days
CN-00462,Pearl Builders,57822964,5000,69.84,Suresh,30 days
CN-00463,National Workshop,97516116,10000,"2,446.99",Joseph,Cash
CN-00464,Capital Contracting Co,59725249,5000,"1.624,17",Rakesh,COD
CN-00465,Reliable Maintenance Co,57859720,10000,1792.48,Suresh,60 days
CN-00466,Prime Builders,91580573,2500,2906.79,Rakesh,90 days
CN-00467,Sabah Contracting Co,64493274,,KWD 3629.08,Anwar,90 days
CN-00468,Modern Interiors,52366417,5000,3232.66,Anwar,60 days
CN-00469,United Maintenance Co,64376757,10000,"2,016.13",Mahmoud,30 days
CN-00470,Falcon Workshop,66881298,5000,"564,99",Joseph,Cash
CN-00471,Prime Interiors,56787317,1000,281.35,Anwar,45 days
CN-00472,Sabah Interiors,62576372,2500,2327.25,Anwar,45 days
CN-00473,Mubarak Trading Est,66222659,5000,KWD 3714.88,Suresh,COD
CN-00474,Capital Workshop,91296202,1000,179.22,Anwar,COD
CN-00475,Burgan Maintenance Co,69879698,2500,"1,572.21",Anwar,COD
CN-00476,Fahad Engineering,55477167,,"1.946,06",Rakesh,45 days
CN-00477,Fahad Construction,92211759,5000,1067.65,Suresh,30 days
CN-00478,Gulf Trading Est,57537436,1000,3654.54,Mahmoud,Cash
CN-00479,Al Manar Maintenance Co,52053075,1000,KWD 3869.23,Khaled,45 days
CN-00480,National Construction,97922509,10000,2372.98,Rakesh,Cash
CN-00481,Salmi Builders,52872236,5000,"2,651.51",Khaled,60 days
CN-00482,Desert Contracting Co,58324281,5000,"25,81",Anwar,COD
CN-00483,Burgan Contracting Co,56226053,1000,1798.70,Rakesh,60 days
CN-00484,Oasis Interiors,59614031,2500,3983.03,Rakesh,Cash
CN-00485,Falcon Workshop,91171955,,KWD 3270.39,Suresh,30 days
CN-00486,Marina Contracting Co,93566450,10000,3195.15,Suresh,30 days
CN-00487,Fahad Builders,58370812,2500,"1,971.15",Anwar,45 days
CN-00488,Pearl Contracting Co,93858002,10000,"2.914,65",Suresh,90 days
CN-00489,Al Manar Maintenance Co,97616721,,3689.49,Joseph,45 days
CN-00490,Burgan Contracting Co,69061190,10000,315.38,Mahmoud,COD
CN-00491,Oasis Builders,99965783,10000,KWD 3660.32,Mahmoud,COD
CN-00492,Prime Contracting Co,53066561,1000,126.39,Suresh,60 days
CN-00493,National Engineering,95360970,2500,"2,182.03",Suresh,Cash
CN-00494,Sabah Interiors,51216208,5000,"1.641,56",Anwar,90 days
CN-00495,Al Rai Builders,53123142,5000,2088.25,Joseph,COD
CN-00496,Marina MEP Services,64320225,,643.24,Mahmoud,30 days
CN-00497,Al Rai Contracting Co,66584280,2500,KWD 2119.80,Rakesh,Cash
CN-00498,Modern Maintenance Co,69297983,5000,579.54,Mahmoud,30 days
CN-00499,Falcon Maintenance Co,98722657,1000,"2,918.56",Anwar,90 days
CN-00500,Modern Engineering,61980732,1000,"1.342,65",Rakesh,30 days
CN-00501,Pearl Trading Est,65162513,1000,3742.02,Joseph,30 days
CN-00502,Mubarak Trading Est,58580919,10000,2920.36,Mahmoud,45 days
CN-00503,Modern Maintenance Co,99640749,1000,KWD 3896.86,Joseph,Cash
CN-00504,Mubarak Real Estate,93242592,5000,2016.98,Suresh,COD
CN-00505,Burgan Contracting Co,63609655,,967.92,Rakesh,60 days
CN-00506,Salmi Engineering,58760108,,"91,88",Rakesh,60 days
CN-00507,National Interiors,63565391,10000,1458.11,Anwar,30 days
CN-00508,Modern Trading Est,62740578,,2302.51,Mahmoud,30 days
CN-00509,Gulf Real Estate,95842862,10000,KWD 982.10,Mahmoud,60 days
CN-00510,Mubarak Construction,91879683,,2289.32,Anwar,Cash
CN-00511,United Interiors,56934688,2500,"3,925.46",Anwar,COD
CN-00512,Salmi Construction,65940162,5000,"2.073,56",Anwar,90 days
CN-00513,Modern Real Estate,64450656,2500,907.64,Joseph,30 days
CN-00514,National Interiors,69653548,1000,759.07,Rakesh,45 days
CN-00515,Falcon Construction,58300296,,KWD 2237.33,Joseph,60 days
CN-00516,Marina MEP Services,92632451,2500,167.47,Rakesh,60 days
CN-00517,Mubarak Builders,98426143,1000,"2,237.10",Mahmoud,30 days
CN-00518,Kazma Real Estate,61342353,1000,"3.974,52",Joseph,90 days
CN-00519,Kazma Workshop,68066994,1000,2422.54,Khaled,90 days
CN-00520,Reliable Builders,91911728,1000,736.61,Joseph,COD
CN-00521,Mubarak Real Estate,55974279,5000,KWD 3114.69,Rakesh,30 days
CN-00522,Pearl Workshop,59395455,2500,1131.37,Khaled,60 days
CN-00523,Marina Trading Est,61060936,1000,363.00,Mahmoud,Cash
CN-00524,Burgan Workshop,91905096,5000,"2.976,52",Rakesh,Cash
CN-00525,Capital Engineering,51236473,5000,1116.59,Rakesh,Cash
CN-00526,Al Rai Maintenance Co,58703864,10000,2233.50,Khaled,90 days
CN-00527,Salmi Interiors,55539283,2500,KWD 1600.15,Joseph,30 days
CN-00528,United Interiors,91490510,5000,3443.05,Mahmoud,90 days
CN-00529,Fahad Workshop,96738319,2500,883.20,Suresh,30 days
CN-00530,United Workshop,66119401,1000,"3.052,50",Anwar,Cash
CN-00531,Modern Interiors,59883582,5000,12.00,Joseph,30 days
CN-00532,Al Rai Interiors,97639869,5000,3941.23,Mahmoud,30 days
CN-00533,Pearl MEP Services,59341591,2500,KWD 894.07,Khaled,90 days
CN-00534,Kazma MEP Services,99552487,1000,3872.23,Rakesh,30 days
CN-00535,Falcon MEP Services,54803982,5000,"1,192.92",Joseph,90 days
CN-00536,Fahad Builders,99506583,1000,"761,15",Suresh,90 days
CN-00537,Falcon Interiors,61825230,1000,1228.00,Mahmoud,Cash
CN-00538,Fahad Maintenance Co,67170198,,3472.21,Khaled,Cash
CN-00539,Prime Contracting Co,61190198,2500,KWD 2278.73,Rakesh,30 days
CN-00540,Burgan Trading Est,95469138,1000,3635.58,Suresh,30 days
CN-00541,Gulf Real Estate,91952693,2500,523.56,Mahmoud,30 days
CN-00542,Salmi Construction,97836815,1000,"2.263,51",Khaled,60 days
CN-00543,Gulf Engineering,99767108,,2694.08,Mahmoud,90 days
CN-00544,Sabah Interiors,51975496,10000,3968.03,Mahmoud,COD
CN-00545,National Trading Est,95928446,5000,KWD 262.44,Rakesh,30 days
CN-00546,Kazma MEP Services,66939181,10000,3339.21,Mahmoud,90 days
CN-00547,Fahad Maintenance Co,96847349,1000,12.25,Joseph,COD
CN-00548,Mubarak Builders,94466092,10000,"3.981,04",Mahmoud,COD
CN-00549,Al Manar Builders,68168622,5000,3592.19,Rakesh,45 days
CN-00550,Burgan Engineering,52217014,,1376.49,Joseph,COD
CN-00551,Desert Engineering,57454026,,KWD 3227.78,Khaled,60 days
CN-00552,Fahad MEP Services,96454529,2500,97.99,Joseph,COD
CN-00553,Modern Maintenance Co,56525408,2500,"3,216.80",Khaled,COD
CN-00554,National MEP Services,97426989,1000,"501,47",Rakesh,60 days
CN-00555,Marina Construction,95895612,,3768.80,Suresh,60 days
CN-00556,Reliable Builders,66011984,,3441.46,Suresh,30 days
CN-00557,Capital Interiors,57026977,1000,KWD 732.62,Joseph,90 days
CN-00558,Falcon Contracting Co,64716108,5000,525.59,Joseph,30 days
CN-00559,Pearl MEP Services,98008573,10000,450.19,Anwar,90 days
CN-00560,Marina Trading Est,67619003,,"3.630,25",Rakesh,Cash
CN-00561,Gulf Workshop,54881670,1000,695.45,Joseph,COD
CN-00562,Salmi Construction,99511232,2500,2661.22,Mahmoud,Cash
CN-00563,Marina MEP Services,98263606,5000,KWD 208.40,Suresh,Cash
CN-00564,Sabah Maintenance Co,54394380,,1314.57,Joseph,30 days
CN-00565,Al Manar Real Estate,97888423,10000,995.85,Mahmoud,Cash
CN-00566,Oasis Builders,54751338,10000,"1.156,24",Khaled,60 days
CN-00567,Fahad Real Estate,93565543,10000,260.50,Rakesh,60 days
CN-00568,Marina MEP Services,68719486,1000,3735.75,Mahmoud,COD
CN-00569,Modern Trading Est,68261943,2500,KWD 2007.98,Mahmoud,Cash
CN-00570,Falcon Contracting Co,62184799,1000,25.17,Rakesh,60 days
CN-00571,Desert Maintenance Co,66221386,2500,"2,929.34",Joseph,30 days
CN-00572,Desert Interiors,95023953,1000,"2.015,23",Mahmoud,90 days
CN-00573,Al Manar Maintenance Co,62855534,1000,858.22,Rakesh,60 days
CN-00574,Sabah Real Estate,97848075,,1935.92,Khaled,30 days
CN-00575,Capital Construction,51223850,10000,KWD 225.24,Suresh,COD
CN-00576,United MEP Services,96249711,2500,3559.43,Rakesh,30 days
CN-00577,Sabah Builders,69903590,,"2,892.15",Joseph,30 days
CN-00578,Mubarak Trading Est,56899463,2500,"317,73",Mahmoud,90 days
CN-00579,Falcon Engineering,96414097,,1200.88,Suresh,90 days
CN-00580,Kazma Engineering,62076810,10000,291.58,Khaled,COD
CN-00581,Al Manar Contracting Co,93145039,,KWD 1533.42,Joseph,90 days
CN-00582,Oasis Interiors,64814872,10000,156.31,Joseph,COD
CN-00583,Modern Construction,68671867,5000,"3,060.00",Mahmoud,COD
CN-00584,Mubarak Real Estate,97573489,10000,"1.732,85",Mahmoud,60 days
CN-00585,United Engineering,99932602,2500,3510.88,Mahmoud,60 days
CN-00586,Mubarak Interiors,93619203,10000,3134.96,Khaled,COD
CN-00587,Al Manar Workshop,55657171,1000,KWD 3899.39,Suresh,60 days
CN-00588,National Trading Est,61029355,2500,2085.01,Joseph,45 days
CN-00589,Oasis Real Estate,91383194,10000,"1,766.18",Joseph,COD
CN-00590,Capital Builders,97586866,10000,"3.311,77",Khaled,90 days
CN-00591,Kazma Engineering,91888909,5000,762.13,Suresh,COD
CN-00592,Modern Contracting Co,51479128,5000,1684.95,Rakesh,30 days
CN-00593,Desert Real Estate,91892831,2500,KWD 1790.02,Khaled,Cash
CN-00594,Sabah Construction,63974610,,778.21,Joseph,30 days
CN-00595,Prime MEP Services,97376626,10000,"2,703.96",Rakesh,Cash
CN-00596,Gulf Maintenance Co,69427875,1000,"2.235,94",Suresh,60 days
CN-00597,Pearl Builders,98244471,5000,2794.31,Suresh,45 days
CN-00598,Prime Trading Est,61719533,1000,1035.40,Joseph,COD
CN-00599,Reliable Maintenance Co,67333144,1000,KWD 473.22,Joseph,45 days
CN-00600,Marina Engineering,69674861,2500,2197.99,Mahmoud,COD
CN-00601,Kazma Real Estate,55419500,,"1,386.49",Khaled,60 days
CN-00602,Prime Interiors,59646068,2500,"523,69",Anwar,45 days
CN-00603,Gulf Real Estate,61785786,1000,3579.20,Rakesh,Cash
CN-00604,Modern Trading Est,95911668,1000,549.88,Khaled,45 days
CN-00605,Salmi Maintenance Co,96554785,5000,KWD 1674.20,Mahmoud,Cash
CN-00606,Falcon Engineering,55120327,5000,1296.12,Khaled,45 days
CN-00607,Oasis Engineering,54472274,10000,"3,104.09",Rakesh,90 days
CN-00608,Prime Engineering,53769707,10000,"2.161,28",Anwar,60 days
CN-00609,Mubarak Real Estate,69979815,5000,3806.43,Khaled,30 days
CN-00610,Mubarak Maintenance Co,94630302,10000,-,Suresh,Cash
CN-00611,Reliable Contracting Co,97946133,10000,KWD 792.80,Suresh,30 days
CN-00612,Kazma Workshop,91082433,1000,2772.47,Anwar,45 days
CN-00613,Prime Builders,52063403,2500,"3,025.87",Joseph,90 days
CN-00614,Sabah Construction,99740395,,"28,52",Anwar,30 days
CN-00615,Sabah Maintenance Co,92166713,1000,3767.44,Anwar,60 days
CN-00616,Capital Trading Est,59008442,1000,448.39,Khaled,30 days
CN-00617,Prime Construction,65805122,2500,KWD 1660.43,Khaled,COD
CN-00618,Fahad Workshop,57658546,1000,2612.99,Mahmoud,COD
CN-00619,Reliable Workshop,61500371,,"3,241.14",Mahmoud,Cash
CN-00620,Desert Trading Est,58833372,10000,"749,37",Joseph,60 days
CN-00621,Fahad Trading Est,53056764,10000,1931.50,Khaled,90 days
CN-00622,Kazma Workshop,93998234,10000,2076.76,Rakesh,COD
CN-00623,Kazma Trading Est,51687808,,KWD 3846.40,Joseph,COD
CN-00624,Modern Workshop,65647440,5000,2743.01,Anwar,90 days
CN-00625,Al Manar Interiors,65000815,10000,"1,040.37",Suresh,Cash
CN-00626,Marina Builders,58990348,2500,"1.711,39",Joseph,COD
CN-00627,Desert Builders,95398534,,3907.73,Anwar,60 days
CN-00628,Al Rai Trading Est,56075341,1000,3938.57,Anwar,90 days
CN-00629,Mubarak Builders,68401946,,KWD 366.09,Joseph,60 days
CN-00630,Oasis Maintenance Co,99705179,10000,2962.26,Joseph,45 days
CN-00631,Al Rai Engineering,66224552,5000,"2,889.30",Khaled,90 days
CN-00632,Marina Contracting Co,69035936,2500,"2.206,08",Joseph,COD
CN-00633,Al Rai Maintenance Co,66165743,1000,3641.26,Joseph,Cash
CN-00634,Prime Engineering,64881097,1000,2095.58,Suresh,30 days
CN-00635,Gulf Engineering,51237325,1000,KWD 293.43,Joseph,Cash
CN-00636,Capital Construction,52368322,1000,3182.69,Mahmoud,COD
CN-00637,Sabah Construction,92017189,10000,"2,783.65",Anwar,90 days
CN-00638,Kazma Trading Est,51334320,,"651,41",Anwar,45 days
CN-00639,Sabah MEP Services,93185662,,887.32,Khaled,Cash
CN-00640,Modern Real Estate,61921069,5000,729.39,Mahmoud,45 days
CN-00641,Al Rai Maintenance Co,99554626,2500,KWD 3900.24,Khaled,90 days
CN-00642,Al Manar Trading Est,54726579,5000,790.49,Joseph,60 days
CN-00643,Reliable Workshop,57198116,1000,"2,921.93",Suresh,60 days
CN-00644,Modern Contracting Co,92891294,,"3.150,84",Rakesh,COD
CN-00645,Sabah Contracting Co,65878431,1000,3638.88,Joseph,45 days
CN-00646,Oasis Maintenance Co,66311803,,-,Suresh,COD
CN-00647,Fahad Builders,58035741,2500,KWD 1283.21,Mahmoud,COD
CN-00648,Pearl Contracting Co,51817515,1000,549.93,Joseph,90 days
CN-00649,Burgan Contracting Co,62434351,5000,"2,131.38",Khaled,90 days
CN-00650,Mubarak Builders,54396437,5000,"180,00",Khaled,30 days
CN-00651,Modern Real Estate,93594943,1000,82.95,Anwar,90 days
CN-00652,Kazma Contracting Co,92466625,1000,1036.21,Mahmoud,45 days
CN-00653,Mubarak MEP Services,58828429,,KWD 1084.78,Suresh,COD
CN-00654,Capital Trading Est,59040527,,2594.09,Anwar,60 days
CN-00655,Marina Builders,54791524,2500,809.24,Suresh,Cash
CN-00656,Burgan Real Estate,53044730,1000,"3.743,72",Anwar,90 days
CN-00657,Reliable Real Estate,97550359,2500,832.47,Joseph,90 days
CN-00658,Prime Engineering,64513400,5000,3195.96,Khaled,COD
CN-00659,Kazma Workshop,54909892,2500,KWD 1575.74,Khaled,COD
CN-00660,Mubarak Engineering,99151023,5000,1786.75,Suresh,COD
CN-00661,Pearl Trading Est,67858072,10000,249.22,Joseph,Cash
CN-00662,Al Manar Trading Est,64931506,1000,"3.195,32",Mahmoud,45 days
CN-00663,Oasis Interiors,97715985,,3428.52,Anwar,60 days
CN-00664,National Interiors,67429046,10000,256.24,Anwar,90 days
CN-00665,Sabah Construction,98769999,10000,KWD 3615.22,Joseph,30 days
CN-00666,Modern Interiors,94366663,5000,2296.21,Khaled,90 days
CN-00667,Capital Construction,64874253,10000,282.02,Mahmoud,60 days
CN-00668,Capital Trading Est,52043820,10000,"2.367,99",Suresh,30 days
CN-00669,Sabah Real Estate,69302316,2500,602.76,Suresh,Cash
CN-00670,Oasis Interiors,62418594,1000,2911.20,Khaled,COD
CN-00671,Sabah Interiors,65695673,1000,KWD 914.88,Khaled,Cash
CN-00672,Prime Engineering,96635050,10000,2835.65,Joseph,60 days
CN-00673,Oasis Trading Est,93312043,2500,"1,341.29",Rakesh,45 days
CN-00674,Gulf Trading Est,94589976,10000,"515,54",Joseph,60 days
CN-00675,Fahad Builders,51458018,2500,3366.47,Suresh,45 days
CN-00676,Burgan Engineering,96543087,5000,3838.54,Khaled,60 days
CN-00677,Pearl Interiors,53196071,2500,KWD 1604.18,Suresh,30 days
CN-00678,Modern Construction,67043262,5000,784.84,Anwar,COD
CN-00679,Fahad Trading Est,66874396,10000,"3,025.64",Khaled,90 days
CN-00680,Al Rai Trading Est,95820086,2500,"2.730,72",Rakesh,45 days
CN-00681,Gulf MEP Services,65179313,5000,3858.67,Suresh,60 days
CN-00682,Mubarak Trading Est,58345083,5000,3847.42,Mahmoud,60 days
CN-00683,Fahad Interiors,53108669,10000,KWD 2837.91,Anwar,60 days
CN-00684,Kazma Real Estate,67946635,,1439.42,Joseph,Cash
CN-00685,Modern MEP Services,95682849,10000,685.65,Suresh,60 days
CN-00686,Desert Maintenance Co,97884234,1000,"1.120,45",Anwar,Cash
CN-00687,Kazma Real Estate,67958198,10000,1819.57,Joseph,30 days
CN-00688,Pearl Workshop,95482817,,3382.73,Mahmoud,45 days
CN-00689,United Real Estate,54798817,,KWD 3237.41,Khaled,90 days
CN-00690,Burgan Maintenance Co,51804421,1000,2454.88,Joseph,60 days
CN-00691,Pearl Trading Est,91472793,2500,"3,482.58",Mahmoud,30 days
CN-00692,Modern MEP Services,55816714,10000,"3.264,88",Joseph,45 days
CN-00693,Reliable Contracting Co,99012323,5000,2295.67,Anwar,Cash
CN-00694,Reliable Builders,95760575,5000,618.37,Joseph,COD
CN-00695,Reliable MEP Services,93351340,2500,KWD 560.81,Rakesh,90 days
CN-00696,Capital Construction,93570301,10000,2052.33,Joseph,45 days
CN-00697,United Engineering,66947970,2500,"2,414.29",Mahmoud,90 days
